epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,125.245,0,308.986,0,0,0,0,0,0,852.915,0,0.00016,0.00016,0.00016
2,241.076,0,98.7446,0,0,0,0,0,0,178.005,0,0.000333268,0.000333268,0.000333268
3,355.397,0,40.0515,0,0,0,0,0,0,201.235,0,0.000499408,0.000499408,0.000499408
4,470.839,0,29.8829,0,0,0,0,0,0,1974.77,0,0.00065842,0.00065842,0.00065842
1,123.951,0,308.986,0,0,0,0,0,0,852.915,0,0.00016,0.00016,0.00016
2,247.84,0,98.7446,0,0,0,0,0,0,178.005,0,0.000333268,0.000333268,0.000333268
3,360.704,0,40.0515,0,0,0,0,0,0,201.235,0,0.000499408,0.000499408,0.000499408
4,459.695,0,29.8829,0,0,0,0,0,0,1974.77,0,0.00065842,0.00065842,0.00065842
5,554.373,0,17.524,0,0,0,0,0,0,4062.03,0,0.000810304,0.000810304,0.000810304
1,7.31617,3.08366,23.7503,2.38903,0.00167,0.5,0.00133,0.00013,3.45761,7.4761,2.63089,2e-05,2e-05,2e-05
2,8.02977,3.03204,19.3703,2.76146,0.00167,0.5,0.00208,0.00021,3.5265,7.26907,2.40091,5.406e-05,5.406e-05,5.406e-05
3,8.66458,2.75789,22.4766,2.47238,0.00167,0.5,0.00222,0.00044,3.35468,7.08487,2.2877,8.02e-05,8.02e-05,8.02e-05
4,9.27574,3.08182,22.4025,2.45694,0.00167,0.5,0.00239,0.00072,3.19225,6.95554,2.2158,9.842e-05,9.842e-05,9.842e-05
5,9.87916,2.71516,25.4606,2.34235,0.00167,0.5,0.00256,0.00077,3.23444,6.47329,2.19102,0.00010872,0.00010872,0.00010872
6,10.5091,2.82975,22.5983,2.57123,0.00167,0.5,0.00269,0.00081,3.26022,6.33715,2.1801,0.0001111,0.0001111,0.0001111
7,11.2003,3.22628,18.5165,2.73645,0.00167,0.5,0.00288,0.00086,3.2367,6.71429,2.17405,0.00010556,0.00010556,0.00010556
8,11.9708,2.99182,21.9715,2.49407,0.00167,0.5,0.00484,0.00097,2.96765,9.82319,2.00504,9.21e-05,9.21e-05,9.21e-05
9,12.8944,3.04295,19.5095,2.26351,0.00167,0.5,0.0077,0.00207,2.86924,9.64372,1.94682,7.072e-05,7.072e-05,7.072e-05
10,13.8156,2.32491,11.8963,2.21167,0.02106,0.5,0.09942,0.0301,2.80396,9.07395,1.92299,4.142e-05,4.142e-05,4.142e-05
1,10.2921,3.08366,23.7503,2.38903,0.00167,0.5,0.00133,0.00013,3.45761,7.4761,2.63089,2e-05,2e-05,2e-05
2,11.0446,3.03204,19.3703,2.76146,0.00167,0.5,0.00208,0.00021,3.5265,7.26907,2.40091,5.406e-05,5.406e-05,5.406e-05
3,11.6664,2.75789,22.4766,2.47238,0.00167,0.5,0.00222,0.00044,3.35468,7.08487,2.2877,8.02e-05,8.02e-05,8.02e-05
4,12.2858,3.08182,22.4025,2.45694,0.00167,0.5,0.00239,0.00072,3.19225,6.95554,2.2158,9.842e-05,9.842e-05,9.842e-05
5,12.8786,2.71516,25.4606,2.34235,0.00167,0.5,0.00256,0.00077,3.23444,6.47329,2.19102,0.00010872,0.00010872,0.00010872
6,13.484,2.82975,22.5983,2.57123,0.00167,0.5,0.00269,0.00081,3.26022,6.33715,2.1801,0.0001111,0.0001111,0.0001111
7,14.1366,3.22628,18.5165,2.73645,0.00167,0.5,0.00288,0.00086,3.2367,6.71429,2.17405,0.00010556,0.00010556,0.00010556
8,14.9264,2.99182,21.9715,2.49407,0.00167,0.5,0.00484,0.00097,2.96765,9.82319,2.00504,9.21e-05,9.21e-05,9.21e-05
9,15.8679,3.04295,19.5095,2.26351,0.00167,0.5,0.0077,0.00207,2.86924,9.64372,1.94682,7.072e-05,7.072e-05,7.072e-05
10,16.7902,2.32491,11.8963,2.21167,0.02106,0.5,0.09942,0.0301,2.80396,9.07395,1.92299,4.142e-05,4.142e-05,4.142e-05
1,2.71857,3.17037,17.217,2.53043,0,0,0,0,3.24565,7.29495,2.72952,2e-05,2e-05,2e-05
